album, song, text
SOUR, deja_vu, ""
SOUR, deja_vu, "Strawberry ice cream in Malibu"
SOUR, deja_vu, "Don't act like we didn't do that shit, too"
SOUR, deja_vu, "You're tradin' jackets like we used to do"
SOUR, deja_vu, "(Yeah, everything is all reused)"
SOUR, deja_vu, "Play her piano, but she doesn't know"
SOUR, deja_vu, "That I was the one who taught you Billy Joel"
SOUR, deja_vu, "A different girl now, but there's nothing new"
SOUR, deja_vu, ""
SOUR, deja_vu, "I know you get déjà vu"
SOUR, deja_vu, "I know you get déjà vu"
SOUR, deja_vu, "I know you get déjà vu"
SOUR, happier, "We broke up a month ago"
SOUR, happier, "Your friends are mine"
SOUR, happier, "You know I know you've moved on"
SOUR, happier, "Found someone new"
SOUR, happier, "One more girl who brings out the better in you"
SOUR, happier, ""
SOUR, happier, "And I thought my heart was detached"
SOUR, happier, "From all the sunlight of our past"
SOUR, happier, "But she's so sweet"
SOUR, happier, "She's so pretty"
SOUR, happier, "Does she mean you forgot about me?"
SOUR, happier, ""
SOUR, happier, "Oh, I hope you're happy"
SOUR, happier, "But not like how you were with me"
SOUR, happier, "I'm selfish, I know"
SOUR, happier, "I can't let you go"
SOUR, happier, "So find someone great but don't find no one better"
SOUR, happier, "I hope you're happy but don't be happier"
SOUR, happier, ""
SOUR, happier, "And do you tell her she's the most beautiful girl you've ever seen?"
SOUR, happier, "An eternal love bullshit you know you'll never mean"
SOUR, happier, "Remember when I believed"
SOUR, happier, "You meant it when you said it first to me?"
SOUR, happier, ""
SOUR, happier, "And now I'm picking her apart"
SOUR, happier, "Like cutting her down will make you miss my wretched heart"
SOUR, happier, "But she's beautiful"
SOUR, happier, "She looks kind"
SOUR, happier, "She probably gives you butterflies"
SOUR, happier, ""
SOUR, happier, "I hope you're happy"
SOUR, happier, "But not like how you were with me"
SOUR, happier, "I'm selfish, I know"
SOUR, happier, "I can't let you go"
SOUR, happier, "So find someone great but don't find no one better"
SOUR, happier, ""
SOUR, happier, "I hope you're happy"
SOUR, happier, "I wish you all the best"
SOUR, happier, "Really"
SOUR, happier, "Say you love her, baby"
SOUR, happier, "Just not like you loved me"
SOUR, happier, "And think of me fondly when your hands are on her"
SOUR, happier, "I hope you're happy"
SOUR, happier, "But don't be happier"
SOUR, happier, ""
SOUR, happier, "I hope you're happy"
SOUR, happier, "Just not like how you were with me"
SOUR, happier, "I'm selfish, I know"
SOUR, happier, "Can't let you go"
SOUR, happier, "So find someone great but don't find no one better"
SOUR, happier, "I hope you're happy but don't be happier"
SOUR, favorite_crime, "Know that I loved you so bad"
SOUR, favorite_crime, "I let you treat me like that"
SOUR, favorite_crime, "I was your willing accomplice, honey"
SOUR, favorite_crime, ""
SOUR, favorite_crime, "And I watched as you fled the scene"
SOUR, favorite_crime, "Doe-eyed as you buried me"
SOUR, favorite_crime, "One heart broke, four hands bloody"
SOUR, favorite_crime, ""
SOUR, favorite_crime, "The things I did"
SOUR, favorite_crime, "Just so I could call you mine"
SOUR, favorite_crime, "The things you did"
SOUR, favorite_crime, "Well, I hope I was your favorite crime"
SOUR, favorite_crime, ""
SOUR, favorite_crime, "You used me as an alibi"
SOUR, favorite_crime, "I crossed my heart as you crossed the line"
SOUR, favorite_crime, "And I defended you to all my friends"
SOUR, favorite_crime, ""
SOUR, favorite_crime, "And now, every time a siren sounds"
SOUR, favorite_crime, "I wonder if you're around"
SOUR, favorite_crime, "'Cause you know that I'd do it all again"
SOUR, favorite_crime, ""
SOUR, favorite_crime, "Oh, the things I did"
SOUR, favorite_crime, "Just so I could call you mine"
SOUR, favorite_crime, "The things you did"
SOUR, favorite_crime, "Well, I hope I was your favorite crime"
SOUR, favorite_crime, ""
SOUR, favorite_crime, "It's bittersweet to think about the damage that we'd do"
SOUR, favorite_crime, "'Cause I was going down, but I was doing it with you"
SOUR, favorite_crime, "Yeah, everything we broke, and all the trouble that we made"
SOUR, favorite_crime, "But I say that I hate you with a smile on my face"
SOUR, favorite_crime, ""
SOUR, favorite_crime, "Oh, look what we became"
SOUR, favorite_crime, ""
SOUR, favorite_crime, "Oh, the things I did"
SOUR, favorite_crime, "Just so I could call you mine"
SOUR, favorite_crime, "Oh, the things you did"
SOUR, favorite_crime, "Well, I hope I was your favorite crime"
SOUR, favorite_crime, ""
SOUR, favorite_crime, "Your favorite crime"
SOUR, favorite_crime, "Your favorite crime"
SOUR, favorite_crime, "'Cause baby, you were mine"
SOUR, brutal, "I want it to be, like, messy"
SOUR, brutal, ""
SOUR, brutal, "I'm so insecure, I think"
SOUR, brutal, "That I'll die before I drink"
SOUR, brutal, "And I'm so caught up in the news"
SOUR, brutal, "Of who likes me and who hates you"
SOUR, brutal, "And I'm so tired that I might"
SOUR, brutal, "Quit my job, start a new life"
SOUR, brutal, "And they'd all be so disappointed"
SOUR, brutal, "'Cause who am I if not exploited?"
SOUR, brutal, "And I'm so sick of seventeen"
SOUR, brutal, "Where's my fucking teenage dream?"
SOUR, brutal, "If someone tells me one more time"
SOUR, brutal, ""Enjoy your youth," I'm gonna cry"
SOUR, brutal, "And I don't stick up for myself"
SOUR, brutal, "I'm anxious, and nothing can help"
SOUR, brutal, "And I wish I'd done this before"
SOUR, brutal, "And I wish people liked me more"
SOUR, brutal, ""
SOUR, brutal, "All I did was try my best"
SOUR, brutal, "This the kinda thanks I get?"
SOUR, brutal, "Unrelentlessly upset (Ah-ah-ah)"
SOUR, brutal, "They say these are the golden years"
SOUR, brutal, "But I wish I could disappear"
SOUR, brutal, "Ego crush is so severe"
SOUR, brutal, "God, it's brutal out here"
SOUR, brutal, ""
SOUR, brutal, "(Yeah)"
SOUR, brutal, ""
SOUR, brutal, "I feel like no one wants me"
SOUR, brutal, "And I hate the way I'm perceived"
SOUR, brutal, "I only have two real friends"
SOUR, brutal, "And lately, I'm a nervous wreck"
SOUR, brutal, "'Cause I love people I don't like"
SOUR, brutal, "And I hate every song I write"
SOUR, brutal, "And I'm not cool, and I'm not smart"
SOUR, brutal, "And I can't even parallel park"
SOUR, brutal, ""
SOUR, brutal, "All I did was try my best"
SOUR, brutal, "This the kinda thanks I get?"
SOUR, brutal, "Unrelentlessly upset (Ah-ah-ah)"
SOUR, brutal, "They say these are the golden years"
SOUR, brutal, "But I wish I could disappear"
SOUR, brutal, "Ego crush is so severe"
SOUR, brutal, "God, it's brutal out here"
SOUR, brutal, ""
SOUR, brutal, "(Yeah)"
SOUR, brutal, "(Just havin' a really good time)"
SOUR, brutal, ""
SOUR, brutal, "Got a broken ego, broken heart"
SOUR, brutal, "(Yeah, it's brutal out here, yeah, it's brutal out here)"
SOUR, brutal, "And God, I don't even know where to start"
SOUR, drivers_license, "I got my driver's license last week"
SOUR, drivers_license, "Just like we always talked about"
SOUR, drivers_license, "'Cause you were so excited for me"
SOUR, drivers_license, "To finally drive up to your house"
SOUR, drivers_license, "But today I drove through the suburbs"
SOUR, drivers_license, "Crying 'cause you weren't around"
SOUR, drivers_license, ""
SOUR, drivers_license, "And you're probably with that blonde girl"
SOUR, drivers_license, "Who always made me doubt"
SOUR, drivers_license, "She's so much older than me"
SOUR, drivers_license, "She's everything I'm insecure about"
SOUR, drivers_license, "Yeah, today I drove through the suburbs"
SOUR, drivers_license, "'Cause how could I ever love someone else?"
SOUR, drivers_license, ""
SOUR, drivers_license, "And I know we weren't perfect but I've never felt this way for no one"
SOUR, drivers_license, "And I just can't imagine how you could be so okay now that I'm gone"
SOUR, drivers_license, "Guess you didn't mean what you wrote in that song about me"
SOUR, drivers_license, "'Cause you said forever now I drive alone past your street"
SOUR, drivers_license, ""
SOUR, drivers_license, "And all my friends are tired"
SOUR, drivers_license, "Of hearing how much I miss you but"
SOUR, drivers_license, "I kinda feel sorry for them"
